Skill ID Number,Dive Number,Skill Name,Skill Type,Skill Description,Skill Group,Skill Training Points,Skill Difficulty,Skill Rating,Skill Video,Skill Pictures
,,Reverse Somersault,Platform,,,,,,,
,,Inward Somersault,Platform,,,,,,,
,,Armstand Fall,Platform,,,,,,,
,,Body Alignment,Deck-Mat-Bulkhead,,,,,,,
,,Starting Position/Stance,Deck-Mat-Bulkhead,,,,,,,
,,Form Points,Deck-Mat-Bulkhead,,,,,,,
,,Toe point,Deck-Mat-Bulkhead,,,,,,,
,,Straight Knees,Deck-Mat-Bulkhead,,,,,,,
,,Straight Elbows,Deck-Mat-Bulkhead,,,,,,,
,,Diver Hands,Deck-Mat-Bulkhead,,,,,,,
,,Thumb-lock,Deck-Mat-Bulkhead,,,,,,,
,,Armswing*,Deck-Mat-Bulkhead,,,,,,,
,,Forward Takeoff Position,Deck-Mat-Bulkhead,,,,,,,
,,Aerial Positions,Deck-Mat-Bulkhead,,,,,,,
,,Straight,Deck-Mat-Bulkhead,,,,,,,
,,Tuck,Deck-Mat-Bulkhead,,,,,,,
,,Pike,Deck-Mat-Bulkhead,,,,,,,
,,Understand Free Position,Deck-Mat-Bulkhead,,,,,,,
,,Forward jump on Deck Carpet Board - All Positions,Deck-Mat-Bulkhead,,,,,,,
,,No armswing,Deck-Mat-Bulkhead,,,,,,,
,,with arm swing,Deck-Mat-Bulkhead,,,,,,,
,,Forward jump from bulkhead - All Positions,Deck-Mat-Bulkhead,,,,,,,
,,No armswing,Deck-Mat-Bulkhead,,,,,,,
,,with arm swing,Deck-Mat-Bulkhead,,,,,,,
,,1 Step Forward Hurdle - 6 Part Positioning,Deck-Mat-Bulkhead,,,,,,,
,,1 Step Forward Hurdle - Fluid on deck,Deck-Mat-Bulkhead,,,,,,,
,,Back press with TYTI Latteral arm start on deck ,Deck-Mat-Bulkhead,,,,,,,
,,Rigidity,Deck-Mat-Bulkhead,,,,,,,
,,Icicles,Deck-Mat-Bulkhead,,,,,,,
,,Forward Hollow Entry position,Deck-Mat-Bulkhead,,,,,,,
,,Forward Kickout Sequencing,Deck-Mat-Bulkhead,,,,,,,
,,Forward Pike to Entry position,Deck-Mat-Bulkhead,,,,,,,
,,Forward Tuck to Entry position,Deck-Mat-Bulkhead,,,,,,,
,,Underwater Positioning Basic Pike Save,Deck-Mat-Bulkhead,,,,,,,
,,Back Kickout Sequencing,Deck-Mat-Bulkhead,,,,,,,
,,Tuck to Entry position,Deck-Mat-Bulkhead,,,,,,,
,,Pike to Entry position,Deck-Mat-Bulkhead,,,,,,,
,,Underwater Positioning Basic Tuck-knee Save,Deck-Mat-Bulkhead,,,,,,,
,,Forward roll,Deck-Mat-Bulkhead,,,,,,,
,,Backward roll,Deck-Mat-Bulkhead,,,,,,,
,,Back Extension,Deck-Mat-Bulkhead,,,,,,,
,,Handstand,Deck-Mat-Bulkhead,,,,,,,
,,Back Entry position,Deck-Mat-Bulkhead,,,,,,,
,,303B Reverse 1 1/2 Somersault Pike,Deck-Mat-Bulkhead,,,,,,,
,,403B Inward 1 1/2 Somersault Pike,Deck-Mat-Bulkhead,,,,,,,
,,"5233D Back 1 1/2 Somersault, 1 1/2 Twists Free",Deck-Mat-Bulkhead,,,,,,,
,,"5323D Reverse 1 Somersault, 1 1/2 Twists Free",Deck-Mat-Bulkhead,,,,,,,
,,Press handstand tuck,Deck-Mat-Bulkhead,,,,,,,
,,Press handstand stradle,Deck-Mat-Bulkhead,,,,,,,
,,press handstand Pike,Deck-Mat-Bulkhead,,,,,,,
,,6 Part Hurdle,Deck-Mat-Bulkhead,,,,,,,
,,Double Bouncing No Armcircle,1M,,,,,,,
,,Double Bouncing With Armcircle,1M,,,,,,,
,,Triple Bouncing No Armcircle,1M,,,,,,,
,,Forward jump from 1 M - Straight No Armswing,1M,,,Full 4 Step Forward Approach to front jump 1 M Straight,,,,
,,Forward jump from 1 M - Tuck No Armswing,1M,,,Full 4 Step Forward Approach to front jump 1 M Tuck,,,,
,,Forward jump from 1 M - Pike No Armswing,1M,,,Full 4 Step Forward Approach to front jump 1 M Pike,,,,
,,Forward jump from 1 M - Straight With Armswing,1M,,,,,,,
,,Forward jump from 1 M - Tuck With Armswing,1M,,,Back jump with TYTI back press from 1 M - All Positions*,,,,
,,Forward jump from 1 M - Pike With Armswing,1M,,,Back jump with TYTI back press from 1 M - All Positions*,,,,
,,Back jump from 1 M - Straight No Armswing,1M,,,Back jump with TYTI back press from 1 M Pike,,,,
,,Back jump from 1 M - Tuck No Armswing,1M,,,002A*,,,,
,,Back jump from 1 M - Pike No Armswing,1M,,,002A,,,,
,,Back jump from 1 M - Straight With Armswing,1M,,,101 C*,,,,
,,Back jump from 1 M - Tuck With Armswing,1M,,,201 C*,,,,
,,Back jump from 1 M - Pike With Armswing,1M,,,401 C*,,,,
,,1 Step Forward Hurdle to front jump 1 M Straight,1M,,,102 C,,,,
,,1 Step Forward Hurdle to front jump 1 M Tuck,1M,,,102 AB - TL,,,,
,,1 Step Forward Hurdle to front jump 1 M Pike,1M,,,103 C*,,,,
,,001A Forward Line up 1M Straight,1M,,,201 B*,,,,
,,001B Forward Line up 1M Pike,1M,,,202 A - TL,,,,
,,001C Forward Line up 1M Tuck,1M,,,301 C*,,,,
,,100A,1M,,,5221D,,,,
,,100C,1M,,,103 C*,,,,
,,100B,1M,,,103 B*,,,,
,,200A,1M,,,302 C,,,,
,,200C,1M,,,302 B,,,,
,,200B,1M,,,402 B,,,,
,,Hurdle Progression 1 Front jump no Armcircle,1M,,,5122 D*,,,,
,,Hurdle Progression 2 Front Jump w Armcircle,1M,,,101 B*,,,,
,,Hurdle Progression 3,1M,,,,,,,
